You are absolutely right to ask for clarification. My previous document provided a high-level architectural overview and, for the sake of brevity, summarized the contents of many tables rather than listing every single column. That was an oversimplification.

A complete database design document should indeed detail every column.

Here is the revised, comprehensive database design document that explicitly lists **all columns** for every table as defined in your `models.py` file. This version serves as a proper technical reference for your schema.

---

## **Revised** Database Design and Architecture Document

### 1. Introduction & Overview
*(This section remains the same as the previous document, outlining the overall design principles.)*

---

### 2. Core Entities: User and Startup Lifecycle

#### **`users`**
*   **Purpose:** Stores user account information for authentication and identification.
| Column | Type | Constraints & Description |
| :--- | :--- | :--- |
| `id` | Integer | **Primary Key** |
| `email` | String(120) | Unique, Not Null, Indexed. User's login email. |
| `password_hash` | String(128) | Nullable. Hashed password. Null for OAuth users. |
| `full_name` | String(100) | Not Null. User's full name. |
| `is_verified` | Boolean | Default: `False`. If the user's email is verified. |
| `role` | Enum(UserRole) | Not Null, Default: `USER`. Role in the system (`USER`, `ADMIN`). |
| `created_at` | DateTime | Default: `utcnow`. Timestamp of account creation. |
| `google_id` | String(128) | Unique, Nullable. OAuth ID for Google. |
| `linkedin_id` | String(128) | Unique, Nullable. OAuth ID for LinkedIn. |

#### **`submissions`**
*   **Purpose:** Captures the initial application data from a prospective startup.
| Column | Type | Constraints & Description |
| :--- | :--- | :--- |
| `id` | Integer | **Primary Key** |
| `user_id` | Integer | **Foreign Key** to `users.id`. The submitting user. |
| `startup_name` | String(200) | The name of the proposed startup. |
| `founders_and_inspiration` | Text | Answer to the relevant application question. |
| `problem_statement` | Text | Answer to the relevant application question. |
| `who_experiences_problem` | Text | Answer to the relevant application question. |
| `product_service_idea` | Text | Answer to the relevant application question. |
| `how_solves_problem` | Text | Answer to the relevant application question. |
| `intended_users_customers` | Text | Answer to the relevant application question. |
| `main_competitors_alternatives` | Text | Answer to the relevant application question. |
| `how_stands_out` | Text | Answer to the relevant application question. |
| `startup_type` | String(100) | Answer to the relevant application question. |
| `status` | Enum(SubmissionStatus) | Not Null, Default: `PENDING`. The application's status. |
| `submitted_at` | DateTime | Default: `utcnow`. Timestamp of submission. |
| `raw_chat_data` | JSON | A full log of the application conversation for auditing. |

#### **`evaluations`**
*   **Purpose:** Stores the detailed, internal analysis of a submission.
